fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
672792,,UTC,2021-03-03T13:00:00+00:00,1614776400,,,,Stadio Georgios Karaiskáki,Piraeus,Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,7918,Olympiakos Piraeus U19,https://media.api-sports.io/football/teams/7918.png,,7914,Manchester City U19,https://media.api-sports.io/football/teams/7914.png,,,,,,,,,,,
672793,,UTC,2021-03-03T15:00:00+00:00,1614783600,,,6550.0,Stadio Ernesto Breda,Sesto San Giovanni,Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,7903,Internazionale U19,https://media.api-sports.io/football/teams/7903.png,,7887,Bayern München U19,https://media.api-sports.io/football/teams/7887.png,,,,,,,,,,,
672794,,UTC,2021-03-03T15:00:00+00:00,1614783600,,,2919.0,Estadio Jesús Navas,Sevilla,Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,7993,Sevilla U19,https://media.api-sports.io/football/teams/7993.png,,7921,PSG U19,https://media.api-sports.io/football/teams/7921.png,,,,,,,,,,,
672795,,UTC,2021-03-03T10:00:00+00:00,1614765600,,,,Stadion NTK im. B. M. Bannikova,Kiev,Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,7929,Shakhtar Donetsk U19,https://media.api-sports.io/football/teams/7929.png,,7922,Porto U19,https://media.api-sports.io/football/teams/7922.png,,,,,,,,,,,
672796,,UTC,2021-03-02T00:00:00+00:00,1614643200,,,1135.0,Sportpark De Toekomst,Amsterdam-Duivendrecht,Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,7881,Ajax U19,https://media.api-sports.io/football/teams/7881.png,,7985,Krasnodar U19,https://media.api-sports.io/football/teams/7985.png,,,,,,,,,,,
672797,,UTC,2021-03-02T15:00:00+00:00,1614697200,,,10726.0,Leigh Sports Village Stadium,"Leigh, Greater Manchester",Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,7960,Manchester United U19,https://media.api-sports.io/football/teams/7960.png,,7926,Real Madrid U19,https://media.api-sports.io/football/teams/7926.png,,,,,,,,,,,
672798,,UTC,2021-03-02T13:00:00+00:00,1614690000,,,,Esenler Erokspor Stadyumu,İstanbul,Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,16397,İstanbul Başakşehir U19,https://media.api-sports.io/football/teams/16397.png,,7893,Club Brugge U19,https://media.api-sports.io/football/teams/7893.png,,,,,,,,,,,
672799,,UTC,2021-03-02T12:30:00+00:00,1614688200,,,,Centro Sportivo Bortolotti 1,Zingonia Ciserano,Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,7883,Atalanta U19,https://media.api-sports.io/football/teams/7883.png,,7924,RB Leipzig U19,https://media.api-sports.io/football/teams/7924.png,,,,,,,,,,,
672800,,UTC,2021-03-03T09:00:00+00:00,1614762000,,,,Stadion SDYuShOR im. A. Smertina,Barnaul,Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,7941,Zenit U19,https://media.api-sports.io/football/teams/7941.png,,7936,Stade Rennes U19,https://media.api-sports.io/football/teams/7936.png,,,,,,,,,,,
672801,,UTC,2021-03-02T14:00:00+00:00,1614693600,,,,Juventus Training Center,Vinovo,Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,7904,Juventus U19,https://media.api-sports.io/football/teams/7904.png,,7890,Borussia Dortmund U19,https://media.api-sports.io/football/teams/7890.png,,,,,,,,,,,
672802,,UTC,2021-03-03T13:00:00+00:00,1614776400,,,,Wunderelf Arena,Ikast,Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,7915,Midtjylland U19,https://media.api-sports.io/football/teams/7915.png,,7884,Atlético Madrid U19,https://media.api-sports.io/football/teams/7884.png,,,,,,,,,,,
672803,,UTC,2021-03-03T13:00:00+00:00,1614776400,,,,Cobham Training Centre,"Stoke d'Abernon, Surrey",Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,7892,Chelsea U19,https://media.api-sports.io/football/teams/7892.png,,7928,Salzburg U19,https://media.api-sports.io/football/teams/7928.png,,,,,,,,,,,
672804,,UTC,2021-03-02T13:00:00+00:00,1614690000,,,5206.0,Liverpool’s Academy Ground,"Knowsley, Merseyside",Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,7909,Liverpool U19,https://media.api-sports.io/football/teams/7909.png,,16394,Olympique Marseille U19,https://media.api-sports.io/football/teams/16394.png,,,,,,,,,,,
672805,,UTC,2021-03-02T14:00:00+00:00,1614693600,,,,Stadion Dynamo im. Valery Lobanovsky,Kiev,Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,7898,Dynamo Kyiv U19,https://media.api-sports.io/football/teams/7898.png,,7885,Barcelona U19,https://media.api-sports.io/football/teams/7885.png,,,,,,,,,,,
672806,,UTC,2021-03-03T11:00:00+00:00,1614769200,,,,Sapsan Arena,Moskva,Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,7910,Lokomotiv Moskva U19,https://media.api-sports.io/football/teams/7910.png,,16389,Ferencváros U19,https://media.api-sports.io/football/teams/16389.png,,,,,,,,,,,
672807,,UTC,2021-03-02T11:00:00+00:00,1614682800,,,,Fohlenplatz,Mönchengladbach,Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,10249,Borussia M'bach U19,https://media.api-sports.io/football/teams/10249.png,,15668,Lazio U19,https://media.api-sports.io/football/teams/15668.png,,,,,,,,,,,
672808,,UTC,2021-03-03T18:00:00+00:00,1614794400,,,1248.0,Arena Zabrze,Zabrze,Match Cancelled,CANC,,14,UEFA Youth League,World,https://media.api-sports.io/football/leagues/14.png,,2020,Group Stage,16391,Górnik Zabrze U19,https://media.api-sports.io/football/teams/16391.png,,7920,PAOK U19,https://media.api-sports.io/football/teams/7920.png,,,,,,,,,,,
